"t"	"T"
"s"	"°C"
267.5	80.5280148053683832
268	80.5280148053683832
268.5	80.5280148053683832
269	80.5280148053683832
269.5	80.5280148053683832
270	80.5280148053683832
270.5	80.4665891500881851
271	80.4665891500881851
271.5	80.4665891500881851
272	80.4665891500881851
272.5	80.4665891500881851
273	80.4665891500881851
273.5	80.4665891500881851
274	80.4665891500881851
274.5	80.4665891500881851
275	80.4665891500881851
275.5	80.4665891500881851
276	80.4665891500881851
276.5	80.4665891500881851
277	80.4052002990048444
277.5	80.4052002990048444
278	80.4052002990048444
278.5	80.3438485141036133
279	80.2825340573697435
279.5	80.1064634284346098
280	79.9841673650302458
280.5	79.8010154299271557
281	79.6182203744742603
281.5	79.4357892722733636
282	79.0115718086589295
282.5	78.057467276174862
283	76.931279933264843
283.5	76.1134140538360426
284	75.7157457321468689
284.5	75.2564433729937771
285	74.9713131056394048
285.5	74.6311749961883856
286	74.3494468389613516
286.5	73.902020936980059
287	73.5208875255078272
287.5	73.2457082684296142
288	72.9722579958982304
288.5	72.7005694560701752
289	72.3769148048492532
289.5	72.0559007948809134
290	71.7970587395790523
290.5	71.4809751411359514
291	71.1676913402737738
291.5	70.805807701071683
292	70.6007971875608781
292.5	70.3970942011749723
293	70.1946858964248135
293.5	69.9497283682999959
294	69.7004301572187543
294.5	69.4038223959273274
295	69.0612260642762154
295.5	68.6741239892363906
296	68.3391930006343636
296.5	67.919482032979152
297	67.5457391125921442
297.5	67.1303076836072931
298	66.8107667522017667
298.5	66.4548920369300629
299	66.0527108791759989
299.5	65.6112883091394257
300	65.2187043623316064
300.5	64.8786927610117644
301	64.6217477870406599
301.5	64.3665669535385076
302	64.1130948921686212
302.5	63.945035493384802
303	63.7359716654101843
303.5	63.5695056796396851
304	63.3675458600122692
304.5	63.0792600706720417
305	62.792916315375425
305.5	62.5895194926602418
306	62.427461724474024
306.5	62.2659711594748437
307	61.9446260173052264
307.5	61.7099638638880085
308	61.4317564618300338
308.5	61.2339109141582742
309	61.0367640277632008
309.5	60.8795260471850695
310	60.6835704405184318
310.5	60.4541667538043126
311	60.3373694978143553
311.5	60.2984917798976824
312	60.1432335275067162
312.5	59.9497425269955314
313	59.8339611122465886
313.5	59.7184077761469174
314	59.64150195873727
314.5	59.5646987080233396
315	59.4496875988505014
315.5	59.3731399318164559
316	59.2966941670268811
316.5	59.2203501146372399
317	59.1060224730557326
317.5	59.0346871258770507
318	58.8827962660948075
318.5	58.7691406420928828
319	58.6557146027251054
319.5	58.580221189238033
320	58.504827696494813
320.5	58.4295339346509081
321	58.3543397138617813
321.5	58.2792448442828955
322	58.2042491360697135
322.5	58.1293523993776984
323	58.0545544443623128
323.5	58.0545544443623128
324	58.0171906273873735
324.5	57.9425404913302312
325	57.9425404913302312
325.5	57.9052541199832823
326	57.8679886623337421
326.5	57.793534950553369
327	57.793534950553369
327.5	57.7563466441763251
328	57.7191791661445748
328.5	57.6495582552210708
329	57.6495582552210708
329.5	57.6495582552210708
330	57.6866799352723399
330.5	57.6866799352723399
331	57.6866799352723399
331.5	57.7191791661445748
332	57.7563466441763251
332.5	57.793534950553369
333	57.793534950553369
333.5	57.793534950553369
334	57.793534950553369
334.5	57.793534950553369
335	57.8307513709305631
335.5	57.8307513709305631
336	57.8307513709305631
336.5	57.8307513709305631
337	57.8307513709305631
337.5	57.8307513709305631
338	57.8307513709305631
338.5	57.793534950553369
339	57.793534950553369
339.5	57.793534950553369
340	57.7563466441763251
340.5	57.7563466441763251
341	57.7563466441763251
341.5	57.7563466441763251
342	57.7563466441763251
342.5	57.7563466441763251
343	57.7563466441763251
343.5	57.7563466441763251
344	57.7563466441763251
344.5	57.7563466441763251
345	57.7563466441763251
345.5	57.7563466441763251
346	57.7563466441763251
346.5	57.7563466441763251
347	57.7563466441763251
347.5	57.7563466441763251
348	57.7563466441763251
348.5	57.7191791661445748
349	57.7563466441763251
349.5	57.7191791661445748
350	57.7191791661445748
350.5	57.7191791661445748
351	57.7191791661445748
351.5	57.7191791661445748
352	57.7191791661445748
352.5	57.6866799352723399
353	57.6866799352723399
353.5	57.7191791661445748
354	57.6866799352723399
354.5	57.6866799352723399
355	57.6866799352723399
355.5	57.6866799352723399
356	57.6866799352723399
